"Name","hit","Similarity_2810-2075","SMILES","rank"
"2810-2075",1,1,"NC1=CC2=NN(N=C2C=C1)C1=CC=C(Cl)C=C1",0
"8018-2966",1,0.88636,"NC1=CC2=C(OC(=N2)C2=CC(Br)=CC=C2Cl)C=C1",6
"3738-4868",1,0.87114,"CCCCC1=CC=C(C=C1)N1N=C2C=CC(N)=CC2=N1",11
"3729-2175",1,0.8244,"NC1=CC=C(C=C1)C1=NC2=CC=CC=C2S1",20
"2810-4224",1,0.81094,"NC1=CC=C2OC(=NC2=C1)C1=C2C=CC=C(Br)C2=CC=C1",26
"8018-2965",1,0.80177,"NC1=CC=C2OC(=NC2=C1)C1=CC=C(C=C1)C1=CC=CC=C1",28
"0325-0348",1,0.79086,"NC1=CC=CC=C1I",33
"0632-0836",1,0.77639,"NC1=CC=C(C=CC2=NC3=CC=CC=C3O2)C=C1",42
"8020-2422",1,0.74196,"NCCC1=CSC(=N1)C1=CC=C(C=C1)C(F)(F)F",68
"2252-1548",1,0.74067,"NC1=CC=C(C=C1)C1=NC2=C(N1)C=CC1=CC=CC=C21",70
"3167-0427",1,0.7259,"NC1=CC=C2N=C(SCC3=CC=C(Br)C=C3)SC2=C1",92
"8020-5450",1,0.72364,"NC1=NC2=CC=CC(Cl)=C2O1",99
