bit_position,mutual_information,chi2_score,chi2_pvalue,correlation,mi_rank,chi2_rank,corr_rank,combined_rank
bit2,0.112358,196.734184,0.000000,-0.021696,5.000000,3.000000,2.000000,3.333333
bit26,0.062768,250.922627,0.000000,-0.021758,8.000000,2.000000,1.000000,3.666667
bit27,0.053288,252.758864,0.000000,-0.021371,9.000000,1.000000,3.000000,4.333333
bit28,0.013346,170.111604,0.000000,-0.015745,12.000000,4.000000,4.000000,6.666667
bit53,0.107588,20.065212,0.000007,0.006841,6.000000,10.000000,9.000000,8.333333
bit37,0.023101,43.865644,0.000000,-0.008256,11.000000,8.000000,7.000000,8.666667
bit29,0.007911,46.145071,0.000000,-0.008042,13.000000,7.000000,8.000000,9.333333
bit49,0.002305,62.411759,0.000000,-0.008969,18.000000,6.000000,6.000000,10.000000
bit36,0.091087,15.115231,0.000101,-0.005707,7.000000,16.000000,10.000000,11.000000
bit1,0.000682,21.430051,0.000004,-0.005174,20.000000,9.000000,11.000000,13.333333
bit4,0.003268,18.851558,0.000014,-0.005017,16.000000,12.000000,12.000000,13.333333
bit12,0.000107,113.391548,0.000000,0.011815,30.000000,5.000000,5.000000,13.333333
bit51,0.000458,19.980581,0.000008,-0.004994,22.000000,11.000000,13.000000,15.333333
bit33,0.001959,16.746816,0.000043,-0.004640,19.000000,15.000000,16.000000,16.666667
bit52,0.002875,14.081971,0.000175,-0.004329,17.000000,17.000000,18.000000,17.333333
bit50,0.003537,10.724440,0.001057,-0.003791,14.000000,19.000000,20.000000,17.666667
bit44,0.176368,0.498363,0.480220,-0.004334,3.000000,34.000000,17.000000,18.000000
bit46,0.000226,18.142399,0.000020,-0.004763,27.000000,13.000000,14.000000,18.000000
bit25,0.000412,13.991664,0.000184,-0.004189,23.000000,18.000000,19.000000,20.000000
bit54,0.000554,5.922180,0.014951,-0.002730,21.000000,21.000000,23.000000,21.666667
bit30,0.000284,10.153292,0.001440,-0.003569,25.000000,20.000000,21.000000,22.000000
bit45,0.193999,0.016436,0.897989,0.002948,2.000000,46.000000,22.000000,23.333333
bit0,0.000337,5.037273,0.024808,-0.002513,24.000000,23.000000,25.000000,24.000000
bit38,0.033674,0.800221,0.371027,-0.001147,10.000000,31.000000,33.000000,24.666667
bit47,0.153979,0.096329,0.756280,-0.002257,4.000000,43.000000,27.000000,24.666667
bit8,0.000000,17.509608,0.000029,0.004642,48.000000,14.000000,15.000000,25.666667
bit34,0.000085,5.904607,0.015101,-0.002698,33.000000,22.000000,24.000000,26.333333
bit39,0.000241,2.105784,0.146743,0.001618,26.000000,26.000000,29.000000,27.000000
bit18,0.000094,4.399075,0.035958,-0.002328,32.000000,24.000000,26.000000,27.333333
bit11,0.000138,,,,28.000000,,,28.000000
bit48,0.211784,0.000598,0.980486,-0.000502,1.000000,47.000000,39.000000,29.000000
bit15,0.000127,,,,29.000000,,,29.000000
bit40,0.003326,0.268866,0.604093,-0.000600,15.000000,36.000000,38.000000,29.666667
bit24,0.000000,3.392664,0.065487,-0.002045,48.000000,25.000000,28.000000,33.666667
bit13,0.000083,0.735634,0.391063,-0.000952,34.000000,32.000000,35.000000,33.666667
bit17,0.000000,1.782866,0.181798,-0.001482,48.000000,27.000000,30.000000,35.000000
bit19,0.000000,1.475782,0.224436,-0.001348,48.000000,28.000000,31.000000,35.666667
bit31,0.000078,0.350569,0.553791,-0.000657,35.000000,35.000000,37.000000,35.666667
bit41,0.000000,1.226991,0.267993,-0.001229,48.000000,29.000000,32.000000,36.333333
bit42,0.000000,0.876422,0.349183,-0.001039,48.000000,30.000000,34.000000,37.333333
bit5,0.000036,0.200537,0.654288,-0.000497,38.000000,37.000000,40.000000,38.333333
bit22,0.000103,0.175284,0.675457,-0.000464,31.000000,41.000000,44.500000,38.833333
bit3,0.000000,0.572914,0.449103,-0.000840,48.000000,33.000000,36.000000,39.000000
bit20,0.000035,0.192247,0.661053,-0.000486,39.000000,39.000000,42.000000,40.000000
bit32,0.000012,,,,40.000000,,,40.000000
bit21,0.000062,0.175284,0.675457,-0.000464,36.000000,41.000000,44.500000,40.500000
bit7,0.000036,0.085538,0.769928,0.000324,37.000000,44.000000,46.000000,42.333333
bit23,0.000000,0.199647,0.655006,-0.000496,48.000000,38.000000,41.000000,42.333333
bit35,0.000000,0.175284,0.675457,-0.000464,48.000000,41.000000,43.000000,44.000000
bit9,0.000000,0.061509,0.804127,-0.000275,48.000000,45.000000,47.000000,46.666667
bit14,0.000000,,,,48.000000,,,48.000000
bit16,0.000000,,,,48.000000,,,48.000000
bit6,0.000000,,,,48.000000,,,48.000000
bit43,0.000000,,,,48.000000,,,48.000000
bit10,0.000000,,,,48.000000,,,48.000000
